"model","sample_id","dataset_index","ground_truth_label","expected_prediction","actual_prediction","prediction_match","score_match","checksum_match","activation_match","cycles","bdot_count","block_count","status","result"
"EBNN","0","0","5","5","5","PASS","PASS","PASS","PASS","1046677","3250","3270","1","PASS"
"EBNN","1","1","0","0","0","PASS","PASS","PASS","PASS","1047733","3250","3270","1","PASS"
"EBNN","2","2","4","4","4","PASS","PASS","PASS","PASS","1045017","3250","3270","1","PASS"
"EBNN","3","3","1","1","1","PASS","PASS","PASS","PASS","1044243","3250","3270","1","PASS"
"EBNN","4","4","9","9","9","PASS","PASS","PASS","PASS","1045404","3250","3270","1","PASS"
"EBNN","5","5","2","2","2","PASS","PASS","PASS","PASS","1046225","3250","3270","1","PASS"
"EBNN","6","6","1","1","1","PASS","PASS","PASS","PASS","1044609","3250","3270","1","PASS"
"EBNN","7","7","3","3","3","PASS","PASS","PASS","PASS","1046350","3250","3270","1","PASS"
"EBNN","8","8","1","1","1","PASS","PASS","PASS","PASS","1043161","3250","3270","1","PASS"
"EBNN","9","9","4","4","4","PASS","PASS","PASS","PASS","1046701","3250","3270","1","PASS"
"EBNN","10","10","3","3","3","PASS","PASS","PASS","PASS","1047122","3250","3270","1","PASS"
"EBNN","11","11","5","5","5","PASS","PASS","PASS","PASS","1044451","3250","3270","1","PASS"
"EBNN","12","12","3","3","3","PASS","PASS","PASS","PASS","1048616","3250","3270","1","PASS"
"EBNN","13","13","6","6","6","PASS","PASS","PASS","PASS","1046632","3250","3270","1","PASS"
"EBNN","14","14","1","1","1","PASS","PASS","PASS","PASS","1043269","3250","3270","1","PASS"
"EBNN","15","15","7","7","7","PASS","PASS","PASS","PASS","1046535","3250","3270","1","PASS"
"EBNN","16","16","2","2","2","PASS","PASS","PASS","PASS","1046721","3250","3270","1","PASS"
"EBNN","17","17","8","8","8","PASS","PASS","PASS","PASS","1045976","3250","3270","1","PASS"
"EBNN","18","18","6","6","6","PASS","PASS","PASS","PASS","1044500","3250","3270","1","PASS"
"EBNN","19","19","9","7","7","PASS","PASS","PASS","PASS","1043915","3250","3270","1","PASS"
