"model","sample_id","dataset_index","ground_truth_label","expected_prediction","actual_prediction","prediction_match","score_match","checksum_match","checksum_count","cycles","bdot_count","block_count","status","result"
"FINN_CNV","0","0","3","3","3","PASS","PASS","PASS","10","29498135","756746","761128","1","PASS"
"FINN_CNV","1","1","8","8","8","PASS","PASS","PASS","10","29476447","756746","761128","1","PASS"
"FINN_CNV","2","3","0","8","8","PASS","PASS","PASS","10","29468057","756746","761128","1","PASS"
"FINN_CNV","3","4","6","6","6","PASS","PASS","PASS","10","29478011","756746","761128","1","PASS"
"FINN_CNV","4","6","1","1","1","PASS","PASS","PASS","10","29528328","756746","761128","1","PASS"
"FINN_CNV","5","11","9","9","9","PASS","PASS","PASS","10","29510024","756746","761128","1","PASS"
"FINN_CNV","6","12","5","5","5","PASS","PASS","PASS","10","29491487","756746","761128","1","PASS"
"FINN_CNV","7","13","7","7","7","PASS","PASS","PASS","10","29525291","756746","761128","1","PASS"
"FINN_CNV","8","22","4","4","4","PASS","PASS","PASS","10","29470475","756746","761128","1","PASS"
"FINN_CNV","9","25","2","2","2","PASS","PASS","PASS","10","29472670","756746","761128","1","PASS"
