"model","sample_id","ground_truth_label","expected_prediction","actual_prediction","prediction_match","score_match","layer0_match","layer1_match","layer2_match","cycles","bdot_count","block_count","status","result"
"FINN_LFC","0","5","5","5","PASS","PASS","PASS","PASS","PASS","121521","3082","23632","1","PASS"
"FINN_LFC","1","0","0","0","PASS","PASS","PASS","PASS","PASS","121435","3082","23632","1","PASS"
"FINN_LFC","2","4","4","4","PASS","PASS","PASS","PASS","PASS","121509","3082","23632","1","PASS"
"FINN_LFC","3","1","1","1","PASS","PASS","PASS","PASS","PASS","121487","3082","23632","1","PASS"
"FINN_LFC","4","9","9","9","PASS","PASS","PASS","PASS","PASS","121399","3082","23632","1","PASS"
"FINN_LFC","5","2","2","2","PASS","PASS","PASS","PASS","PASS","121481","3082","23632","1","PASS"
"FINN_LFC","6","1","1","1","PASS","PASS","PASS","PASS","PASS","121407","3082","23632","1","PASS"
"FINN_LFC","7","3","3","3","PASS","PASS","PASS","PASS","PASS","121475","3082","23632","1","PASS"
"FINN_LFC","8","1","1","1","PASS","PASS","PASS","PASS","PASS","121469","3082","23632","1","PASS"
"FINN_LFC","9","4","4","4","PASS","PASS","PASS","PASS","PASS","121463","3082","23632","1","PASS"
"FINN_LFC","10","3","3","3","PASS","PASS","PASS","PASS","PASS","121461","3082","23632","1","PASS"
"FINN_LFC","11","5","5","5","PASS","PASS","PASS","PASS","PASS","121527","3082","23632","1","PASS"
"FINN_LFC","12","3","3","3","PASS","PASS","PASS","PASS","PASS","121449","3082","23632","1","PASS"
"FINN_LFC","13","6","6","6","PASS","PASS","PASS","PASS","PASS","121467","3082","23632","1","PASS"
"FINN_LFC","14","1","1","1","PASS","PASS","PASS","PASS","PASS","121465","3082","23632","1","PASS"
"FINN_LFC","15","7","7","7","PASS","PASS","PASS","PASS","PASS","121519","3082","23632","1","PASS"
"FINN_LFC","16","2","2","2","PASS","PASS","PASS","PASS","PASS","121531","3082","23632","1","PASS"
"FINN_LFC","17","8","8","8","PASS","PASS","PASS","PASS","PASS","121517","3082","23632","1","PASS"
"FINN_LFC","18","6","6","6","PASS","PASS","PASS","PASS","PASS","121407","3082","23632","1","PASS"
"FINN_LFC","19","9","9","9","PASS","PASS","PASS","PASS","PASS","121513","3082","23632","1","PASS"
